Address,Parcel ID,Contractor Name,Price,Primary Funding Source,Demolition Date,Commercial Building,Council_District,Neighborhood,Latitude,Longitude,Location
4153 W Warren,14001126.,Rickman Enterprise Group,34984.00,Non-HHF,12/14/2018,No,6,Chadsey Condon,42.344463,-83.110337,"location
(42.344463, -83.110337)"
2916 Hammond,16001346.002L,Homrich,143000.00,Non-HHF,09/10/2018,Yes,6,Central Southwest,42.324018,-83.111067,"location
(42.324018, -83.111067)"
217 S Morrell,16010179.,Smalley,11550.00,Non-HHF,09/21/2018,No,6,Delray,42.306198,-83.091528,"location
(42.306198, -83.091528)"
3659 Oakman Blvd,16025187.,Den-Man Contractors,69850.00,Non-HHF,09/07/2018,Yes,7,Oakman Blvd Community,42.377966,-83.144602,"location
(42.377966, -83.144602)"
20046 St Aubin,09015867.,Smalley,9450.00,Non-HHF,08/09/2018,No,3,Nolan,42.442302,-83.081625,"location
(42.442302, -83.081625)"
11031 SHOEMAKER,21003300.001,Smalley,140000.00,Non-HHF,10/05/2018,Yes,4,West End,42.391059,-82.988702,"location
(42.391059, -82.988702)"
6781 Drake,15003465.,Leadhead Construction,9898.00,Non-HHF,07/31/2018,No,3,Grant,42.421228,-83.031867,"location
(42.421228, -83.031867)"
1133 W Lantz,01007496.,Gayanga Co,16898.00,Non-HHF,10/09/2018,No,2,Penrose,42.436656,-83.11672,"location
(42.436656, -83.11672)"
13510 Mitchell,09010840.,Smalley,15430.00,Non-HHF,10/11/2018,No,3,North Campau,42.41489,-83.068115,"location
(42.41489, -83.068115)"
4800 Newport,21053920.,Den-Man Contractors,36250.00,Non-HHF,08/07/2018,Yes,4,Fox Creek,42.39322,-82.959988,"location
(42.39322, -82.959988)"
5938 Eastlawn,21053109.,Leadhead Construction,17750.00,Non-HHF,07/27/2018,No,4,Chandler Park,42.401528,-82.966381,"location
(42.401528, -82.966381)"
4325 PHILIP,21060582.,Dore & Associates,28000.00,Non-HHF,10/26/2018,No,4,Fox Creek,42.391332,-82.954085,"location
(42.391332, -82.954085)"
6754 W Fort,18000464.,Smalley,23800.00,Non-HHF,07/19/2018,No,6,Delray,42.304381,-83.1096,"location
(42.304381, -83.1096)"
5528 Martin,18011033.,Smalley,18500.00,Non-HHF,07/11/2018,No,6,Claytown,42.338227,-83.132268,"location
(42.338227, -83.132268)"
4648 15th St,10005531-2,DMC Consultants,19105.00,Non-HHF,08/02/2018,No,6,Core City,42.347003,-83.08662,"location
(42.347003, -83.08662)"
19136 Runyon,17014616.,Leadhead Construction,16150.00,Non-HHF,11/21/2018,No,3,Pulaski,42.434987,-83.006546,"location
(42.434987, -83.006546)"
3979 St Clair,21038965.,"Adamo Group, Inc.",25750.00,Non-HHF,12/04/2018,No,4,West End,42.378888,-82.989295,"location
(42.378888, -82.989295)"
417 E State Fair,09008045.,Dore & Associates,19200.00,Non-HHF,09/07/2018,Yes,3,Nolan,42.439823,-83.09996,"location
(42.439823, -83.09996)"
4462 33rd St,16012357.,DMC Consultants,17850.00,Non-HHF,07/23/2018,No,6,Chadsey Condon,42.336451,-83.114124,"location
(42.336451, -83.114124)"
5330 E Mcnichols,13007117.,DMC Consultants,36265.00,Non-HHF,07/26/2018,Yes,3,Davison,42.418702,-83.04892,"location
(42.418702, -83.04892)"
3100 E Seven Mile,13008335-9,Den-Man Contractors,54650.00,Non-HHF,04/30/2018,Yes,3,Conant Gardens,42.432757,-83.070501,"location
(42.432757, -83.070501)"
26181 W Outer Drive,20018839.,DMC Consultants,14890.00,Non-HHF,04/17/2018,No,6,Boynton,42.259794,-83.165767,"location
(42.259794, -83.165767)"
8218 Edgewood,17001774.,Gayanga Co,10900.00,Non-HHF,04/05/2018,No,3,Airport Sub,42.397151,-83.018679,"location
(42.397151, -83.018679)"
18656 Concord,15011139.,Gayanga Co,13000.00,Non-HHF,03/29/2018,No,3,Grant,42.431061,-83.032382,"location
(42.431061, -83.032382)"
7139 Chicago,16004758-66,"Adamo Group, Inc.",75000.00,Non-HHF,12/03/2018,Yes,6,Midwest,42.360142,-83.14364,"location
(42.360142, -83.14364)"
8142 E Hollywood,17004763.,Leadhead Construction,15200.00,Non-HHF,11/01/2018,No,3,Mount Olivet,42.43237,-83.02145,"location
(42.43237, -83.02145)"
19140 Rogge,15006493.,Gayanga Co,15100.00,Non-HHF,03/29/2018,No,3,Nortown,42.434496,-83.029394,"location
(42.434496, -83.029394)"
19360 Havana,01009493.,Gayanga Co,17152.00,Non-HHF,10/09/2018,No,2,Penrose,42.435117,-83.109997,"location
(42.435117, -83.109997)"
13927 Sussex,22046847.,Gayanga Co,14225.00,Non-HHF,02/19/2018,No,1,Cadillac Community,42.387598,-83.19536,"location
(42.387598, -83.19536)"
1064 Fernhill,01007663.,Gayanga Co,18072.00,Non-HHF,10/09/2018,No,2,Penrose,42.43789,-83.115471,"location
(42.43789, -83.115471)"
7901 Burdeno,18000168.,Smalley,25500.00,Non-HHF,10/27/2018,No,6,Delray,42.29322,-83.113273,"location
(42.29322, -83.113273)"
1075 Coplin,21051808-11,Homrich,183000.00,Non-HHF,07/12/2018,Yes,4,Riverbend,42.371929,-82.950271,"location
(42.371929, -82.950271)"
1663 Blaine,08002334.,Able Demolition,28078.00,Non-HHF,09/26/2018,No,5,Herman Kiefer,42.373659,-83.095519,"location
(42.373659, -83.095519)"
21164 Pickford,22015565.001,Dore & Associates,30000.00,Non-HHF,11/15/2018,No,1,Holcomb Community,42.424528,-83.250825,"location
(42.424528, -83.250825)"
20302 Charleston,09025071-2,Leadhead Construction,10600.00,Non-HHF,08/22/2018,No,3,Nolan,42.443988,-83.106895,"location
(42.443988, -83.106895)"
9715 Holmur,14006589.,Able Demolition,12423.00,Non-HHF,09/27/2018,No,7,Nardin Park,42.372399,-83.12276,"location
(42.372399, -83.12276)"
14204 Linnhurst,21018449.,DMC Consultants,33890.00,Non-HHF,03/07/2018,No,4,Mapleridge,42.431093,-82.977034,"location
(42.431093, -82.977034)"
3443 Liddesdale,20013415.,Smalley,10350.00,Non-HHF,09/20/2018,No,6,Boynton,42.261456,-83.162615,"location
(42.261456, -83.162615)"
6720 Buhr,15003961.,Gayanga Co,17100.00,Non-HHF,09/14/2018,No,3,Grant,42.424402,-83.033156,"location
(42.424402, -83.033156)"
1074 Coplin,21051237.,Dore & Associates,35000.00,Non-HHF,11/06/2018,No,4,Riverbend,42.372112,-82.949711,"location
(42.372112, -82.949711)"
18212 Lauder,22042041.,Dore & Associates,30000.00,Non-HHF,11/29/2018,No,2,Winship,42.423728,-83.191911,"location
(42.423728, -83.191911)"
19373 Derby,01009001.,Gayanga Co,16731.00,Non-HHF,10/04/2018,No,2,Penrose,42.435324,-83.104485,"location
(42.435324, -83.104485)"
8435 Mt Elliott,13009675.,Gayanga Co,32350.00,Non-HHF,07/10/2018,Yes,5,Airport Sub,42.390193,-83.03771,"location
(42.390193, -83.03771)"
4575 Joy Rd,14003378.,"Adamo Group, Inc.",33250.00,Non-HHF,03/01/2017,Yes,5,Petoskey-Otsego,42.366871,-83.125826,"location
(42.366871, -83.125826)"
5034 Balfour,21067696.,DMC Consultants,14286.00,Non-HHF,09/01/2015,No,4,Morningside,42.400554,-82.946743,"location
(42.400554, -82.946743)"
211 Trowbridge,01003322.,Able Demolition,15049.00,HHF,09/10/2014,No,5,Gateway Community,42.390861,-83.083073,"location
(42.390861, -83.083073)"
16700 Evergreen,22095679.,DMC Consultants,7861.40,HHF,06/03/2014,No,1,North Rosedale Park,42.411668,-83.23759,"location
(42.411668, -83.23759)"
6349 Pilgrim,16007375.,Able Demolition,7347.75,HHF,07/09/2014,No,2,Fitzgerald/Marygrove,42.407327,-83.141493,"location
(42.407327, -83.141493)"
6345 Pilgrim,16007374.,Homrich,9800.00,HHF,05/17/2014,No,2,Fitzgerald/Marygrove,42.407328,-83.141381,"location
(42.407328, -83.141381)"
18246 Kentfield,22100353.,MCM,9247.00,HHF,09/18/2014,No,1,Holcomb Community,42.423706,-83.241243,"location
(42.423706, -83.241243)"
551 Chandler,03001994.,ABC Demolition,16750.00,HHF,08/01/2014,No,5,North End,42.376805,-83.069219,"location
(42.376805, -83.069219)"
2921 Hudson,12000860.,Blue Star,19800.10,HHF,08/14/2018,No,5,NW Goldberg,42.35141,-83.097619,"location
(42.35141, -83.097619)"
557 Englewood,03002916.,Homrich,17956.36,HHF,11/16/2018,No,5,Gateway Community,42.394765,-83.080979,"location
(42.394765, -83.080979)"
9191 Chrysler,05004025.,Gayanga Co,17950.00,Non-HHF,04/24/2018,No,5,North End,42.388556,-83.070288,"location
(42.388556, -83.070288)"
9195 Cameron,05004508.,DMC Consultants,18208.00,HHF,10/22/2018,No,5,North End,42.387952,-83.072081,"location
(42.387952, -83.072081)"
1514 Hazelwood,06002161.,Den-Man Contractors,4530.00,Non-HHF,01/23/2018,No,5,Herman Kiefer,42.376375,-83.094722,"location
(42.376375, -83.094722)"
19965 Lumpkin,09015318.,"Adamo Group, Inc.",6942.00,Non-HHF,11/14/2017,No,3,Nolan,42.441254,-83.081065,"location
(42.441254, -83.081065)"
20473 Yacama,09023125.,Gayanga Co,21083.00,Non-HHF,10/24/2018,No,3,Nolan,42.445743,-83.097717,"location
(42.445743, -83.097717)"
15833 Muirland,12011863.,Blue Star,23635.20,HHF,10/11/2018,No,2,Pilgrim Village,42.408321,-83.133823,"location
(42.408321, -83.133823)"
15015 Muirland,12011935.,Blue Star,30437.10,HHF,09/11/2018,No,2,Dexter-Fenkell,42.400971,-83.133466,"location
(42.400971, -83.133466)"
4437 18th St,10007833-4,Blue Star,17550.00,HHF,08/23/2018,No,6,Core City,42.344107,-83.089699,"location
(42.344107, -83.089699)"
19966 Omira,09022793.,Gayanga Co,16225.00,Non-HHF,02/23/2018,No,3,Nolan,42.440751,-83.095915,"location
(42.440751, -83.095915)"
102 Cedarhurst Pl,01004886.,"Adamo Group, Inc.",28484.00,Non-HHF,11/15/2017,No,2,Grixdale Farms,42.421587,-83.10404,"location
(42.421587, -83.10404)"
7044 Arcola,15002592.,Able Demolition,11564.50,Non-HHF,12/14/2016,No,3,Airport Sub,42.405504,-83.028992,"location
(42.405504, -83.028992)"
12399 Maine,09012846.,"Adamo Group, Inc.",15200.00,Non-HHF,05/16/2017,No,3,Campau/Banglatown,42.40818,-83.067803,"location
(42.40818, -83.067803)"
15633 Inverness,08009898.,Dore & Associates,21600.00,Non-HHF,11/02/2018,No,2,Pilgrim Village,42.407362,-83.122965,"location
(42.407362, -83.122965)"
15617 Inverness,08009901.,Blue Star,15143.00,HHF,10/09/2018,No,2,Pilgrim Village,42.407115,-83.122953,"location
(42.407115, -83.122953)"
2201 Kendall,08004917.,Blue Star,18941.00,HHF,10/08/2018,No,2,Oakman Blvd Community,42.399309,-83.118981,"location
(42.399309, -83.118981)"
2046 Kendall,08004958.,Blue Star,18958.00,HHF,10/08/2018,No,2,Oakman Blvd Community,42.399835,-83.118797,"location
(42.399835, -83.118797)"
15758 Joslyn,08007281.,Homrich,23756.00,HHF,01/10/2019,No,2,Pilgrim Village,42.408921,-83.116235,"location
(42.408921, -83.116235)"
969 Adeline St,01007780.,Smalley,10500.00,Non-HHF,07/03/2018,No,2,Penrose,42.438254,-83.113684,"location
(42.438254, -83.113684)"
15651 La Salle Blvd,08010443.,Homrich,22730.00,HHF,01/09/2019,No,2,Pilgrim Village,42.407548,-83.125419,"location
(42.407548, -83.125419)"
15738 Linwood,08010751.,Homrich,16948.00,HHF,01/08/2019,No,2,Pilgrim Village,42.407087,-83.127144,"location
(42.407087, -83.127144)"
15852 Linwood,08010765.,Homrich,26825.00,HHF,01/07/2019,No,2,Pilgrim Village,42.408554,-83.127213,"location
(42.408554, -83.127213)"
2131 Leland,09001997.,Salenbien Trucking & Excavating Inc.,14605.97,HHF,11/15/2018,No,5,McDougall-Hunt,42.357631,-83.039077,"location
(42.357631, -83.039077)"
19696 Riopelle,09018627-8,"Adamo Group, Inc.",1928.00,Non-HHF,11/13/2017,No,3,Nolan,42.439002,-83.086383,"location
(42.439002, -83.086383)"
17215 Riopelle,09018932.,Able Demolition,13635.00,Non-HHF,11/06/2017,No,3,Cadillac Heights,42.419999,-83.086344,"location
(42.419999, -83.086344)"
3610 St Aubin,09004521.,DMC Consultants,24229.00,Non-HHF,05/17/2017,No,5,McDougall-Hunt,42.355523,-83.03816,"location
(42.355523, -83.03816)"
19735 Cardoni,09021283.,Gayanga Co,17920.00,Non-HHF,10/12/2018,No,3,Nolan,42.439371,-83.092081,"location
(42.439371, -83.092081)"
1940 Grand,08004662.,DMC Consultants,13600.00,Non-HHF,01/31/2018,No,2,Oakman Blvd Community,42.397786,-83.115214,"location
(42.397786, -83.115214)"
15622 Log Cabin,08009462.,Homrich,23877.00,HHF,01/10/2019,No,2,Pilgrim Village,42.407152,-83.121036,"location
(42.407152, -83.121036)"
2439 Halleck,09005630.,Gayanga Co,9230.00,Non-HHF,01/31/2018,No,3,Campau/Banglatown,42.407106,-83.0695,"location
(42.407106, -83.0695)"
15767 Linwood,12010898.,Homrich,20400.00,Non-HHF,07/28/2017,No,2,Pilgrim Village,42.407492,-83.127871,"location
(42.407492, -83.127871)"
15744 Wildemere,12005763.,Blue Star,14465.50,HHF,10/18/2018,No,2,Pilgrim Village,42.407167,-83.132253,"location
(42.407167, -83.132253)"
15720 Princeton,12010982.,Homrich,22359.00,HHF,01/09/2019,No,2,Pilgrim Village,42.406855,-83.128318,"location
(42.406855, -83.128318)"
3078 24th St,12008624.,Den-Man Contractors,24510.00,Non-HHF,09/06/2017,No,6,Chadsey Condon,42.333152,-83.092742,"location
(42.333152, -83.092742)"
6088 Beechwood,16011483.,Gayanga Co,13036.00,Non-HHF,09/29/2018,No,6,Midwest,42.349108,-83.11873,"location
(42.349108, -83.11873)"
19209 Harned,13024214.,Blue Star,27172.00,HHF,10/04/2018,No,3,Pershing,42.434492,-83.073927,"location
(42.434492, -83.073927)"
19967 Anglin,13024370.,Blue Star,15200.00,HHF,09/27/2018,No,3,Butler,42.441336,-83.075401,"location
(42.441336, -83.075401)"
19651 Anglin,13024388.,Blue Star,16338.00,HHF,09/28/2018,No,3,Pershing,42.438616,-83.07527,"location
(42.438616, -83.07527)"
19635 Anglin,13024390.,Blue Star,15870.00,HHF,09/27/2018,No,3,Pershing,42.438404,-83.075263,"location
(42.438404, -83.075263)"
19627 Anglin,13024391.,Blue Star,14204.00,HHF,09/27/2018,No,3,Pershing,42.438294,-83.07526,"location
(42.438294, -83.07526)"
19616 Mackay,13024431.,Blue Star,14001.00,HHF,10/04/2018,No,3,Pershing,42.438149,-83.075764,"location
(42.438149, -83.075764)"
19928 Mackay,13024451.,Blue Star,15059.00,HHF,10/16/2018,No,3,Butler,42.440836,-83.075886,"location
(42.440836, -83.075886)"
19961 Goddard,13024671.,Blue Star,20070.80,HHF,10/02/2018,No,3,Butler,42.441219,-83.077839,"location
(42.441219, -83.077839)"
19935 Goddard,13024675-7,Blue Star,22803.53,HHF,10/01/2018,No,3,Butler,42.440849,-83.077816,"location
(42.440849, -83.077816)"
20200 Fleming,13024716-7,Blue Star,16074.00,HHF,09/28/2018,No,3,Butler,42.444012,-83.078526,"location
(42.444012, -83.078526)"
20135 Fleming,13024760-1,Blue Star,29543.00,HHF,10/01/2018,No,3,Butler,42.443046,-83.079174,"location
(42.443046, -83.079174)"
4916 Bangor,14010445.,Blue Star,13773.00,HHF,08/30/2018,No,6,Chadsey Condon,42.342946,-83.107759,"location
(42.342946, -83.107759)"
7177 Mackenzie,16004387.,Able Demolition,17191.80,HHF,01/07/2019,No,6,Midwest,42.356801,-83.14258,"location
(42.356801, -83.14258)"
2008 Magnolia,08000992.,Blue Star,20592.10,HHF,08/13/2018,No,6,Core City,42.341602,-83.079478,"location
(42.341602, -83.079478)"
1635 W Philadelphia,08002134.,Dore & Associates,16000.00,Non-HHF,06/27/2017,No,5,Herman Kiefer,42.371936,-83.09377,"location
(42.371936, -83.09377)"
19970 Bloom,13015291.,Blue Star,15206.00,HHF,10/02/2018,No,3,Farwell,42.442381,-83.049208,"location
(42.442381, -83.049208)"
20050 Bloom,13015298-9,Blue Star,14995.00,HHF,10/01/2018,No,3,Farwell,42.443253,-83.049259,"location
(42.443253, -83.049259)"
20276 Bloom,13015319.,Blue Star,14191.10,HHF,10/03/2018,No,3,Farwell,42.445517,-83.049365,"location
(42.445517, -83.049365)"
20284 Bloom,13015320.,Blue Star,12015.00,HHF,10/05/2018,No,3,Farwell,42.445626,-83.049369,"location
(42.445626, -83.049369)"
19961 Bloom,13015387.,Blue Star,13669.00,HHF,10/05/2018,No,3,Farwell,42.442141,-83.049796,"location
(42.442141, -83.049796)"
1991 Highland,08003885.,Rickman Enterprise Group,15305.00,Non-HHF,03/03/2017,No,5,Dexter-Linwood,42.389735,-83.110682,"location
(42.389735, -83.110682)"
7004 Chalfonte,16006241.,DMC Consultants,21958.00,Non-HHF,02/06/2017,No,7,Chalfonte,42.400628,-83.141376,"location
(42.400628, -83.141376)"
13270 Marlowe,22040633.,"Adamo Group, Inc.",15500.00,Non-HHF,12/08/2016,No,1,Schoolcraft Southfield,42.385106,-83.189032,"location
(42.385106, -83.189032)"
9763 Dundee,16005257.,Smalley,18900.00,Non-HHF,08/29/2018,No,7,Nardin Park,42.369315,-83.133836,"location
(42.369315, -83.133836)"
2166 Scotten,14009548.,Blue Star,24438.10,HHF,08/31/2018,No,6,Central Southwest,42.323587,-83.095479,"location
(42.323587, -83.095479)"
13857 MITCHELL,09011114.,DMC Consultants,28500.00,Non-HHF,12/10/2018,No,3,North Campau,42.416302,-83.069685,"location
(42.416302, -83.069685)"
19434 Harned,13024049-50,Blue Star,15215.00,HHF,10/04/2018,No,3,Pershing,42.43742,-83.073242,"location
(42.43742, -83.073242)"
13276 Caldwell,13014163.,DMC Consultants,25459.00,HHF,10/10/2018,No,3,Buffalo Charles,42.415093,-83.046355,"location
(42.415093, -83.046355)"
4652 PLUMER,16001246.,Blue Star,16266.00,HHF,08/31/2018,No,6,Central Southwest,42.324137,-83.101939,"location
(42.324137, -83.101939)"
5923 St Hedwig,16001408.,Den-Man Contractors,10540.00,Non-HHF,09/07/2017,No,6,Central Southwest,42.326448,-83.112902,"location
(42.326448, -83.112902)"
19164 Stotter,15005663.,"Adamo Group, Inc.",18257.39,Non-HHF,08/18/2014,No,3,Nortown,42.43494,-83.025031,"location
(42.43494, -83.025031)"
20030 Derby,09024696.,Gayanga Co,27420.00,Non-HHF,10/04/2018,No,3,Nolan,42.441448,-83.10344,"location
(42.441448, -83.10344)"
7036 Frederick,15000548.,Den-Man Contractors,15936.00,Non-HHF,11/16/2017,No,5,Gratiot Town/Ketterring,42.375295,-83.021155,"location
(42.375295, -83.021155)"
15702 Northlawn,16031805.,Blue Star,18471.60,HHF,09/12/2018,No,2,Fitzgerald/Marygrove,42.406307,-83.153222,"location
(42.406307, -83.153222)"
15791 Fairfield,12012164.,Blue Star,31443.60,HHF,09/14/2018,No,2,Pilgrim Village,42.407748,-83.134781,"location
(42.407748, -83.134781)"
3701 Charlevoix,13001084.,Gayanga Co,14015.00,Non-HHF,07/30/2018,No,5,McDougall-Hunt,42.356953,-83.019693,"location
(42.356953, -83.019693)"
3450 Pulford,13001700.001,Salenbien Trucking & Excavating Inc.,25868.97,HHF,10/16/2018,No,5,McDougall-Hunt,42.360436,-83.025726,"location
(42.360436, -83.025726)"
3683 Zender,13001744.,Salenbien Trucking & Excavating Inc.,125.00,HHF,10/24/2018,No,5,McDougall-Hunt,42.362514,-83.023774,"location
(42.362514, -83.023774)"
16532 Turner,16027483.,DMC Consultants,15386.00,Non-HHF,09/25/2018,No,2,Fitzgerald/Marygrove,42.41277,-83.148646,"location
(42.41277, -83.148646)"
3530 E Ferry,13003293.,Smalley,18700.00,Non-HHF,01/03/2018,No,5,Poletown East,42.373072,-83.033743,"location
(42.373072, -83.033743)"
3708 Medbury,13003626.,Den-Man Contractors,13550.00,Non-HHF,12/07/2017,No,5,Poletown East,42.377301,-83.032963,"location
(42.377301, -83.032963)"
3730 Taylor,14003296.,DMC Consultants,15100.00,Non-HHF,06/18/2018,No,5,Petoskey-Otsego,42.368722,-83.117505,"location
(42.368722, -83.117505)"
5538 Ivanhoe,16002982.,Salenbien Trucking & Excavating Inc.,12297.28,HHF,12/18/2018,No,6,Midwest,42.356572,-83.129868,"location
(42.356572, -83.129868)"
8049 Burnette,16022434.,Able Demolition,22738.80,HHF,01/09/2019,No,6,Midwest,42.35285,-83.141062,"location
(42.35285, -83.141062)"
8043 Wykes,16022461.,Able Demolition,22211.80,HHF,01/08/2019,No,6,Midwest,42.352745,-83.142075,"location
(42.352745, -83.142075)"
3602 Stockton,13008042.,Homrich,35033.85,HHF,10/31/2018,No,3,Conant Gardens,42.427087,-83.067453,"location
(42.427087, -83.067453)"
3414 Junction,16012964.,Blue Star,24641.00,HHF,11/12/2018,No,6,Central Southwest,42.329372,-83.109785,"location
(42.329372, -83.109785)"
8327 Prairie,16023594.,Able Demolition,16619.80,HHF,12/26/2018,No,6,Midwest,42.355899,-83.143392,"location
(42.355899, -83.143392)"
8216 American,16023654.,Homrich,33555.00,Non-HHF,02/28/2018,No,6,Midwest,42.355236,-83.143824,"location
(42.355236, -83.143824)"
4627 Elmwood,13010541.,Gayanga Co,19680.00,Non-HHF,09/27/2018,No,5,McDougall-Hunt,42.365213,-83.032727,"location
(42.365213, -83.032727)"
19335 Spencer,15006117.,Homrich,40473.86,HHF,10/23/2018,No,3,Nortown,42.436527,-83.026643,"location
(42.436527, -83.026643)"
4019 Field,15007359.,Salenbien Trucking & Excavating Inc.,33239.85,HHF,10/29/2018,No,5,Gratiot-Grand,42.368604,-83.01468,"location
(42.368604, -83.01468)"
5861 Hazlett,16013570.,Den-Man Contractors,12350.00,Non-HHF,08/11/2017,No,6,Midwest,42.345286,-83.122649,"location
(42.345286, -83.122649)"
4627 Hammond,16015706.,Blue Star,22299.00,HHF,08/20/2018,No,6,Chadsey Condon,42.335428,-83.120831,"location
(42.335428, -83.120831)"
20032 Carrie,15008328.,Homrich,14839.86,HHF,10/22/2018,No,3,Sherwood,42.443145,-83.030351,"location
(42.443145, -83.030351)"
9117 Bryden,16024722.,Homrich,25713.76,HHF,11/06/2018,No,6,Midwest,42.36241,-83.145456,"location
(42.36241, -83.145456)"
8132 Central,16024836.,Able Demolition,19542.80,HHF,12/11/2018,No,6,Midwest,42.354024,-83.145857,"location
(42.354024, -83.145857)"
2565 Helen,15009795.,Salenbien Trucking & Excavating Inc.,20023.97,HHF,11/14/2018,No,5,Islandview,42.359271,-83.011772,"location
(42.359271, -83.011772)"
2422 Canton,15009969.,Salenbien Trucking & Excavating Inc.,30084.97,HHF,10/15/2018,No,5,Islandview,42.3574,-83.011058,"location
(42.3574, -83.011058)"
14802 San Juan,16025423.,Dore & Associates,19600.00,Non-HHF,11/06/2018,No,7,Chalfonte,42.398197,-83.145434,"location
(42.398197, -83.145434)"
15868 Greenlawn,16029383.,Blue Star,17784.10,HHF,09/17/2018,No,2,Fitzgerald/Marygrove,42.408434,-83.15046,"location
(42.408434, -83.15046)"
13725 St Louis,13011543.,"Adamo Group, Inc.",35703.00,Non-HHF,11/14/2017,No,3,Davison,42.417702,-83.039728,"location
(42.417702, -83.039728)"
2151 Concord,15011734.,Salenbien Trucking & Excavating Inc.,27546.97,HHF,11/15/2018,No,5,Islandview,42.35509,-83.011527,"location
(42.35509, -83.011527)"
16935 Lilac,16026565.,DMC Consultants,26213.00,Non-HHF,09/24/2018,No,2,Fitzgerald/Marygrove,42.41657,-83.147383,"location
(42.41657, -83.147383)"
16589 Lilac,16026599.,DMC Consultants,23472.00,Non-HHF,09/24/2018,No,2,Fitzgerald/Marygrove,42.413525,-83.147274,"location
(42.413525, -83.147274)"
16134 Tuller,16026861.,DMC Consultants,18138.00,Non-HHF,09/24/2018,No,2,Fitzgerald/Marygrove,42.410394,-83.147589,"location
(42.410394, -83.147589)"
16237 Tuller,16026994.,DMC Consultants,28211.00,Non-HHF,09/25/2018,No,2,Fitzgerald/Marygrove,42.411787,-83.148187,"location
(42.411787, -83.148187)"
2371 Sharon,20008281.,Homrich,8100.00,HHF,05/14/2014,No,6,Springwells,42.308985,-83.136189,"location
(42.308985, -83.136189)"
2029 Green,18009026.,Homrich,22900.00,HHF,05/28/2014,No,6,Springwells,42.3122,-83.12042,"location
(42.3122, -83.12042)"
9203 Pierson,22107195.,Homrich,11757.35,HHF,08/30/2014,No,7,Franklin Park,42.36106,-83.244897,"location
(42.36106, -83.244897)"
9552 Minock,22090669.,Homrich,15272.26,HHF,08/07/2014,No,7,Franklin Park,42.365592,-83.232097,"location
(42.365592, -83.232097)"
4206 Courville,21071430.,"Adamo Group, Inc.",15100.00,Non-HHF,12/12/2016,No,4,Morningside,42.397637,-82.935271,"location
(42.397637, -82.935271)"
22058 Willmarth,22014536.,Salenbien Trucking & Excavating Inc.,23079.48,HHF,07/23/2018,No,1,Old Redford,42.419356,-83.258834,"location
(42.419356, -83.258834)"
21545 Curtis,22015002.,"Adamo Group, Inc.",19563.00,Non-HHF,11/15/2017,No,1,Holcomb Community,42.421826,-83.255983,"location
(42.421826, -83.255983)"
18270 Greydale,22015386.,Den-Man Contractors,11881.00,HHF,09/07/2018,No,1,Holcomb Community,42.422865,-83.256563,"location
(42.422865, -83.256563)"
15236 Maddelein,21021385.,DMC Consultants,15117.00,HHF,08/22/2018,No,3,Regent Park,42.436083,-82.964642,"location
(42.436083, -82.964642)"
15389 Meyers,22020348-9,Able Demolition,15532.34,HHF,08/28/2018,No,2,Bethune Community,42.403886,-83.169809,"location
(42.403886, -83.169809)"
9109 Meyers,22020676.,Den-Man Contractors,13894.00,HHF,10/05/2018,No,7,Barton-McFarland,42.361235,-83.168151,"location
(42.361235, -83.168151)"
8931 Meyers,22020681.,Den-Man Contractors,30675.00,HHF,10/08/2018,No,7,Barton-McFarland,42.360644,-83.168132,"location
(42.360644, -83.168132)"
8852 Appoline,22020781.,Den-Man Contractors,14495.00,HHF,10/03/2018,No,7,Barton-McFarland,42.359583,-83.168626,"location
(42.359583, -83.168626)"
9900 Appoline,22020863.001,Salenbien Trucking & Excavating Inc.,12731.72,HHF,12/03/2018,No,7,Barton-McFarland,42.368646,-83.168863,"location
(42.368646, -83.168863)"
15263 Rochelle,21015416.,DMC Consultants,14634.00,HHF,08/10/2018,No,4,Mapleridge,42.423426,-82.963771,"location
(42.423426, -82.963771)"
19954 Lahser,22113535-6,Blue Star,14820.00,HHF,10/12/2018,No,1,Evergreen Lahser 7/8,42.437603,-83.258224,"location
(42.437603, -83.258224)"
8245 Braile,22106028.,Salenbien Trucking & Excavating Inc.,18847.83,HHF,09/20/2018,No,7,Warrendale,42.352675,-83.243424,"location
(42.352675, -83.243424)"
9246 Pierson,22106254.,Rickman Enterprise Group,15027.00,HHF,08/15/2018,No,7,Franklin Park,42.361987,-83.244209,"location
(42.361987, -83.244209)"
13120 Longview,21007516.,McDonagh Demolition Inc.,15020.41,HHF,12/27/2018,No,4,Outer Drive-Hayes,42.408807,-82.97459,"location
(42.408807, -82.97459)"
9409 Birwood,18016990.,Able Demolition,24038.00,Non-HHF,11/19/2018,No,7,Barton-McFarland,42.365474,-83.163372,"location
(42.365474, -83.163372)"
5444 Seneca,17006737.,Salenbien Trucking & Excavating Inc.,21422.85,HHF,11/01/2018,No,5,Pingree Park,42.382293,-83.010552,"location
(42.382293, -83.010552)"
5475 Seneca,17006926.,Salenbien Trucking & Excavating Inc.,17915.35,HHF,11/01/2018,No,5,Pingree Park,42.382453,-83.01136,"location
(42.382453, -83.01136)"
